Site,Day,Trap,Order,Family,Notes
H2,D1,20A,Orthoptera,Grylliidae,No date
H2,D2,27A,Orthoptera,Grylliidae,No date
H2,D1,19A,Orthoptera,Grylliidae,No date and could not be pinned
H2,D1,11A,Orthoptera,Grylliidae,No date and question mark by site date
H2,D2,5B,Orthoptera,Grylliidae,No date
H3,D3,28A,Hymenoptera,Formicidae,No date
H3,D3,28A,Hymenoptera,Formicidae,No date
H3,D3,28A,Hymenoptera,Formicidae,No date
H3,D3,4A,Orthoptera,Grylliidae,No date
H3,D3,4A,Orthoptera,Grylliidae,No date
H3,D3,10A,Hymenoptera,Formicidae,No date
H3,D3,10A,Hymenoptera,Formicidae,No date
H3,D3,18A,Orthoptera,Grylliidae,No date
H3,D3,18A,Orthoptera,Grylliidae,No date
H3,D3,18A,Orthoptera,Grylliidae,No date
H3,D3,19A,Orthoptera,Grylliidae,No date
H3,D3,19A,Hymenoptera,Formicidae,No date
H3,D3,19A,Hymenoptera,Formicidae,No date
H3,D3,30B,Hymenoptera,Formicidae,No date
H3,D3,30B,Hymenoptera,Formicidae,No date
H3,D3,30B,Hymenoptera,Formicidae,No date
H3,D3,23A,Hymenoptera,Formicidae,No date
H3,D3,23A,Hymenoptera,Formicidae,No date
H3,D3,23A,Hymenoptera,Formicidae,No date
H3,D3,25B,Hymenoptera,Formicidae,No date
H3,D3,25B,Hymenoptera,Formicidae,No date
H3,D3,25B,Hymenoptera,Formicidae,No date
H3,D3,30A,Hymenoptera,Formicidae,No date
H3,D3,30A,Hymenoptera,Formicidae,No date
H3,D3,23B,Hymenoptera,Formicidae,No date
H3,D3,23B,Hymenoptera,Formicidae,No date
H3,D3,23B,Hymenoptera,Formicidae,No date
A1,D2,21B,Hymenoptera,Formicidae,
A1,D2,21B,Hymenoptera,Formicidae,
A1,D2,38A,Isopoda,Porcellioscaber,
A1,D2,12B,Hymenoptera,Formicidae,
A1,D2,15B,Hymenoptera,Formicidae,
A1,D2,10B,Hymenoptera,Formicidae,
A1,D2,10B,Hymenoptera,Formicidae,
A1,D2,10B,Isopoda,Porcellioscaber,
